County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,N/A,18.8 ,18.7, 18.8,N/A , N/A , N/A,77545,falling,-2.1 ,-2.9, -1.6
"Union County, Florida(2)",12125,Rural,43.2 ,31, 58.9,N/A , N/A , N/A,9,stable,-0.1 ,-2.8, 3.0
"Trimble County, Kentucky(7)",21223,Rural,40.2 ,24.6, 62.5,N/A , N/A , N/A,4,*,*,*,*
"Hamilton County, New York(7)",36041,Rural,38.9 ,23.4, 67.2,N/A , N/A , N/A,4,*,*,*,*
"Piscataquis County, Maine(2)",23021,Rural,38.3 ,28.6, 51,N/A , N/A , N/A,12,stable,2.0 ,-1.0, 5.4
"Ohio County, Indiana(2)",18115,Urban,36.9 ,21.2, 62,N/A , N/A , N/A,3,*,*,*,*
"Wadena County, Minnesota(2)",27159,Rural,36.8 ,25.5, 51.9,N/A , N/A , N/A,7,stable,1.5 ,-4.0, 6.9
"Day County, South Dakota(2)",46037,Rural,36.4 ,21.7, 60.6,N/A , N/A , N/A,4,*,*,*,*
"Coos County, New Hampshire(2)",33007,Rural,35.5 ,28.7, 43.9,N/A , N/A , N/A,21,rising,6.2 ,0.3, 19.8
"Buchanan County, Iowa(7)",19019,Rural,35.2 ,25.9, 47,N/A , N/A , N/A,10,rising,2.6 ,1.2, 4.5
"Bracken County, Kentucky(7)",21023,Urban,34.6 ,20.4, 55.7,N/A , N/A , N/A,4,*,*,*,*
"Crawford County, Michigan(2)",26039,Rural,34.5 ,24.8, 48.1,N/A , N/A , N/A,9,stable,-0.5 ,-5.4, 4.6
"Jasper County, Illinois(7)",17079,Rural,34.4 ,21.1, 53.7,N/A , N/A , N/A,4,*,*,*,*
"Sullivan County, Pennsylvania(2)",42113,Rural,33.9 ,19.6, 59.7,N/A , N/A , N/A,4,*,*,*,*
"Grayson County, Kentucky(7)",21085,Rural,33.8 ,25.5, 44.3,N/A , N/A , N/A,12,stable,1.3 ,-2.1, 5.6
"Jefferson County, Washington(7)",53031,Rural,33.3 ,27.3, 40.9,N/A , N/A , N/A,27,stable,-0.1 ,-1.5, 1.5
"Grand Isle County, Vermont(2)",50013,Urban,33.2 ,18.9, 55.9,N/A , N/A , N/A,4,*,*,*,*
"Montgomery County, New York(7)",36057,Rural,33.2 ,27.2, 40.1,N/A , N/A , N/A,23,stable,1.0 ,-1.3, 3.5
"O'Brien County, Iowa(7)",19141,Rural,33.1 ,22.4, 47.6,N/A , N/A , N/A,7,stable,1.9 ,-0.1, 4.4
"Trigg County, Kentucky(7)",21221,Urban,32.9 ,22.7, 47,N/A , N/A , N/A,7,stable,-19.8 ,-39.3, 2.1
"Logan County, Kentucky(7)",21141,Rural,32.7 ,24.9, 42.4,N/A , N/A , N/A,12,rising,1.9 ,0.1, 4.2
"Lake County, Michigan(2)",26085,Rural,32.7 ,22.5, 47.3,N/A , N/A , N/A,7,stable,9.1 ,-2.1, 38.1
"Sullivan County, New Hampshire(2)",33019,Rural,32.5 ,26.7, 39.5,N/A , N/A , N/A,23,stable,0.7 ,-1.2, 2.7
"Madison County, Montana(2)",30057,Rural,32.5 ,19.9, 52,N/A , N/A , N/A,5,*,*,*,*
"Lamar County, Georgia(7)",13171,Rural,32.5 ,22.9, 45,N/A , N/A , N/A,8,stable,3.3 ,0.0, 8.4
"Pushmataha County, Oklahoma(2)",40127,Rural,32.4 ,20.9, 48.9,N/A , N/A , N/A,6,*,*,*,*
"Polk County, Texas(7)",48373,Rural,32.3 ,25.5, 40.5,N/A , N/A , N/A,20,stable,1.4 ,-0.8, 3.7
"Monona County, Iowa(7)",19133,Rural,32.2 ,19.3, 51.4,N/A , N/A , N/A,5,stable,-0.8 ,-15.6, 2.6
"Edgar County, Illinois(7)",17045,Rural,32.2 ,22.8, 44.7,N/A , N/A , N/A,9,stable,1.6 ,-1.1, 4.8
"Morgan County, Kentucky(7)",21175,Rural,32 ,20.7, 47.7,N/A , N/A , N/A,5,*,*,*,*
"Yankton County, South Dakota(2)",46135,Rural,32 ,23.9, 42.3,N/A , N/A , N/A,11,stable,25.5 ,-0.5, 50.4
"Niagara County, New York(7)",36063,Urban,32 ,29.1, 35,N/A , N/A , N/A,100,stable,0.7 ,-0.2, 1.7
"Lyon County, Iowa(7)",19119,Rural,32 ,20.5, 48,N/A , N/A , N/A,5,stable,0.5 ,-1.9, 3.0
"Schoharie County, New York(7)",36095,Urban,31.8 ,24.7, 40.7,N/A , N/A , N/A,15,stable,1.2 ,-1.1, 4.1
"Leon County, Texas(7)",48289,Rural,31.7 ,23, 43.3,N/A , N/A , N/A,9,*,*,*,*
"Cannon County, Tennessee(2)",47015,Urban,31.6 ,21.4, 45.5,N/A , N/A , N/A,6,*,*,*,*
"Union County, Illinois(7)",17181,Rural,31.6 ,22.9, 43.1,N/A , N/A , N/A,9,stable,0.7 ,-1.9, 3.8
"Greene County, New York(7)",36039,Rural,31.4 ,25.9, 38,N/A , N/A , N/A,24,stable,-1.9 ,-4.4, 0.6
"Arenac County, Michigan(2)",26011,Rural,31.4 ,21.6, 44.8,N/A , N/A , N/A,8,stable,2.6 ,-0.8, 6.5
"Clay County, Iowa(7)",19041,Rural,31.2 ,22, 43.4,N/A , N/A , N/A,8,stable,1.2 ,-0.4, 3.0
"Pennington County, Minnesota(2)",27113,Rural,31.2 ,20.8, 45.3,N/A , N/A , N/A,6,stable,-1.9 ,-5.3, 1.3
