County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,N/A,131.3 ,131.1, 131.6,N/A , N/A , N/A,270245,rising,0.6 ,0.5, 0.8
"Aurora County, South Dakota(2)",46003,Rural,288.8 ,176.1, 447.8,N/A , N/A , N/A,5,stable,2.9 ,-2.4, 8.3
"Armstrong County, Texas(7)",48011,Urban,271.9 ,144.5, 467.4,N/A , N/A , N/A,3,*,*,*,*
"Haakon County, South Dakota(2)",46055,Rural,236.6 ,122.7, 418.7,N/A , N/A , N/A,3,*,*,*,*
"Stanley County, South Dakota(2)",46117,Rural,235.8 ,135.6, 380.6,N/A , N/A , N/A,4,*,*,*,*
"McCook County, South Dakota(2)",46087,Urban,230.2 ,159.2, 322.5,N/A , N/A , N/A,8,rising,7.9 ,3.1, 28.0
"Webster County, Georgia(7)",13307,Rural,212.5 ,115.3, 362.5,N/A , N/A , N/A,3,*,*,*,*
"Hoonah-Angoon Census Area, Alaska(2)",02105,Rural,211.2 ,108.8, 378.4,N/A , N/A , N/A,3,*,*,*,*
"Dewey County, South Dakota(2)",46041,Rural,205.6 ,129.4, 308.9,N/A , N/A , N/A,5,*,*,*,*
"Wirt County, West Virginia(2)",54105,Urban,203.9 ,140, 290.1,N/A , N/A , N/A,8,*,*,*,*
"Chattahoochee County, Georgia(7)",13053,Urban,201.7 ,123.9, 307.2,N/A , N/A , N/A,4,*,*,*,*
"Cameron Parish, Louisiana(7)",22023,Urban,198.2 ,129.5, 290.3,N/A , N/A , N/A,6,*,*,*,*
"Calhoun County, Illinois(7)",17013,Urban,197.5 ,136.5, 282.4,N/A , N/A , N/A,7,stable,2.8 ,-0.6, 7.3
"Humphreys County, Mississippi(2)",28053,Rural,196.7 ,142.7, 264.9,N/A , N/A , N/A,10,rising,3.6 ,0.1, 7.8
"Lipscomb County, Texas(7)",48295,Rural,196.1 ,107.3, 329,N/A , N/A , N/A,3,*,*,*,*
"Essex County, Virginia(2)",51057,Rural,195 ,152.6, 247.1,N/A , N/A , N/A,17,rising,4.4 ,2.2, 7.2
"Lewis County, Idaho(7)",16061,Rural,189.5 ,111.9, 303.2,N/A , N/A , N/A,5,*,*,*,*
