County,FIPS,Rural_Urban_Code,Age_Adjusted_Incd_Rate,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1
"Union County, Florida(2)",12125,Rural,1215.0,1144.9, 1288.5,237,stable,0.3 ,-0.6, 1.2
"Polk County, Texas(7)",48373,Rural,683.8,651.9, 716.9,440,stable,-1.7 ,-3.9, 0.8
"McPherson County, Nebraska(2)",31117,Rural,677.0,377.1, 1145.8,4,*,*,*,*
"Dewey County, South Dakota(2)",46041,Rural,649.8,543.8, 769.7,29,stable,1.4 ,-0.5, 3.4
"Bracken County, Kentucky(7)",21023,Urban,621.8,555, 695,68,stable,0.7 ,-0.6, 2.1
"Quitman County, Mississippi(2)",28119,Rural,621.8,544.9, 707.3,51,rising,2.2 ,0.7, 3.7
"Hudspeth County, Texas(7)",48229,Urban,618.8,497.9, 761.1,19,rising,9.7 ,6.8, 17.9
"Wolfe County, Kentucky(7)",21237,Rural,615.5,542.3, 696.5,57,stable,-0.1 ,-1.3, 1.3
"Mahnomen County, Minnesota(2)",27087,Rural,608.7,525.6, 701.9,42,rising,1.7 ,0.5, 4.6
"Cumberland County, Kentucky(7)",21057,Rural,606.5,531.5, 690,55,stable,1.0 ,-0.3, 2.4
"Traverse County, Minnesota(2)",27155,Rural,606.0,508.7, 718.7,33,stable,1.8 ,-1.3, 4.8
"Galax City, Virginia(2)",51640,Rural,605.2,530.9, 687.5,51,stable,1.4 ,-0.5, 3.3
"Faulk County, South Dakota(2)",46049,Rural,604.7,482.5, 751.5,20,rising,2.2 ,0.1, 4.4
"Alexander County, Illinois(7)",17003,Urban,603.7,525.9, 691.2,52,stable,0.2 ,-1.8, 1.9
"Chattahoochee County, Georgia(7)",13053,Urban,601.3,496.9, 719.5,25,stable,1.5 ,-0.4, 4.0
"Livingston County, Kentucky(7)",21139,Urban,598.4,537.9, 664.6,82,stable,0.4 ,-0.6, 1.4
"Lincoln County, Kentucky(7)",21137,Rural,598.0,559.1, 639.1,190,rising,0.8 ,0.4, 1.2
