County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,N/A,32.4 ,32.3, 32.5,N/A , N/A , N/A,68084,falling,-0.8 ,-0.9, -0.7
"Kusilvak Census Area, Alaska(2)",02158,Rural,139.9 ,78.1, 227.6,N/A , N/A , N/A,3,*,*,*,*
"Antelope County, Nebraska(2)",31003,Rural,88.6 ,54.9, 139.7,N/A , N/A , N/A,5,*,*,*,*
"Bracken County, Kentucky(7)",21023,Urban,83.5 ,53, 127,N/A , N/A , N/A,5,*,*,*,*
"Caldwell Parish, Louisiana(7)",22021,Rural,81.1 ,49.9, 125.2,N/A , N/A , N/A,5,*,*,*,*
"Bethel Census Area, Alaska(2)",02050,Rural,78.2 ,47.4, 119.9,N/A , N/A , N/A,5,stable,-3.6 ,-7.6, 0.2
"Pocahontas County, West Virginia(2)",54075,Rural,77.6 ,45.4, 126.1,N/A , N/A , N/A,4,*,*,*,*
"Quitman County, Mississippi(2)",28119,Rural,77.4 ,45.3, 126.7,N/A , N/A , N/A,4,*,*,*,*
"Dawson County, Texas(7)",48115,Rural,74.3 ,45.8, 114,N/A , N/A , N/A,5,*,*,*,*
"Greensville County, Virginia(2)",51081,Rural,73.5 ,43.3, 118,N/A , N/A , N/A,4,*,*,*,*
"Webster County, Mississippi(2)",28155,Rural,71.1 ,45.5, 107.4,N/A , N/A , N/A,5,*,*,*,*
"Okfuskee County, Oklahoma(2)",40107,Rural,70.6 ,44.1, 108.1,N/A , N/A , N/A,5,*,*,*,*
"Cumberland County, Kentucky(7)",21057,Rural,70.5 ,39.8, 119.4,N/A , N/A , N/A,3,*,*,*,*
"Shannon County, Missouri(2)",29203,Rural,70.5 ,40.9, 116.4,N/A , N/A , N/A,4,*,*,*,*
"Sac County, Iowa(7)",19161,Rural,70.1 ,43, 109.3,N/A , N/A , N/A,5,stable,-0.9 ,-3.9, 1.5
"Benton County, Indiana(2)",18007,Urban,70.1 ,40.8, 113.1,N/A , N/A , N/A,4,stable,1.4 ,-3.8, 6.9
"Macon County, Missouri(2)",29121,Rural,69.3 ,46.9, 99.4,N/A , N/A , N/A,7,stable,1.9 ,-2.6, 6.5
"Webster County, West Virginia(2)",54101,Rural,69 ,40.5, 112,N/A , N/A , N/A,4,*,*,*,*
"Randolph County, Missouri(2)",29175,Rural,68.4 ,50.9, 90.6,N/A , N/A , N/A,11,stable,3.7 ,-0.5, 8.8
"Cumberland County, Illinois(7)",17035,Rural,68.4 ,43.9, 103.2,N/A , N/A , N/A,5,stable,2.1 ,-2.6, 7.5
"Harrison County, Kentucky(7)",21097,Rural,68 ,48.2, 93.5,N/A , N/A , N/A,8,stable,2.1 ,-1.1, 6.1
