County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,N/A,58.2 ,58.1, 58.4,N/A , N/A , N/A,112392,falling,-4.3 ,-4.8, -3.9
"Union County, Florida(2)",12125,Rural,210.8 ,174.5, 253,N/A , N/A , N/A,26,falling,-3.4 ,-5.1, -1.7
"Rockcastle County, Kentucky(7)",21203,Rural,178.1 ,143.1, 219.9,N/A , N/A , N/A,19,stable,0.6 ,-1.5, 3.0
"Owsley County, Kentucky(7)",21189,Rural,163.8 ,102.5, 252.5,N/A , N/A , N/A,5,falling,-39.0 ,-61.8, -3.5
"Alexander County, Illinois(7)",17003,Urban,162 ,112.9, 230.9,N/A , N/A , N/A,7,stable,-1.6 ,-4.4, 1.0
"Fulton County, Kentucky(7)",21075,Rural,159.5 ,108.2, 228.2,N/A , N/A , N/A,7,stable,-0.6 ,-3.8, 2.6
"Dunklin County, Missouri(2)",29069,Rural,153 ,127.2, 182.7,N/A , N/A , N/A,26,stable,1.3 ,-0.8, 3.5
"McCreary County, Kentucky(7)",21147,Rural,151.8 ,118.5, 192,N/A , N/A , N/A,15,falling,-2.5 ,-4.6, -0.2
"Leslie County, Kentucky(7)",21131,Rural,146.7 ,107.7, 196.6,N/A , N/A , N/A,10,stable,-1.7 ,-4.1, 0.7
"Montgomery County, Missouri(2)",29139,Rural,144.9 ,108.6, 190.6,N/A , N/A , N/A,11,rising,2.7 ,0.1, 5.7
"Dillon County, South Carolina(2)",45033,Rural,144.1 ,118.9, 173.4,N/A , N/A , N/A,25,rising,3.5 ,0.5, 7.6
"Galax City, Virginia(2)",51640,Rural,144.1 ,91.6, 216.3,N/A , N/A , N/A,5,stable,1.2 ,-2.2, 4.9
"Lawrence County, Arkansas(2)",05075,Rural,143.5 ,113, 180.4,N/A , N/A , N/A,16,stable,-0.4 ,-2.9, 2.2
"Ripley County, Missouri(2)",29181,Rural,143.1 ,108.3, 187,N/A , N/A , N/A,12,stable,1.2 ,-1.7, 4.2
"Estill County, Kentucky(7)",21065,Rural,142.4 ,109.7, 183.1,N/A , N/A , N/A,14,stable,-1.7 ,-4.1, 0.9
"Poinsett County, Arkansas(2)",05111,Urban,141.2 ,114.2, 172.9,N/A , N/A , N/A,20,stable,-0.6 ,-2.1, 0.9
"Carroll County, Kentucky(7)",21041,Rural,141.1 ,102.2, 190.6,N/A , N/A , N/A,9,stable,0.4 ,-3.2, 4.7
"Carter County, Missouri(2)",29035,Rural,140.8 ,90.5, 212.3,N/A , N/A , N/A,5,stable,-0.5 ,-5.0, 3.9
"Mingo County, West Virginia(2)",54059,Rural,139.8 ,113.9, 170.3,N/A , N/A , N/A,23,stable,-1.1 ,-2.9, 0.7
"Union County, Tennessee(2)",47173,Urban,138.7 ,110.2, 172.9,N/A , N/A , N/A,19,stable,0.2 ,-1.7, 2.2
"Grayson County, Kentucky(7)",21085,Rural,138.3 ,113.4, 167.4,N/A , N/A , N/A,24,rising,5.4 ,1.4, 13.7
"Coal County, Oklahoma(2)",40029,Rural,137.9 ,88.8, 207.6,N/A , N/A , N/A,5,stable,-1.4 ,-7.3, 4.2
"Allen County, Kentucky(7)",21003,Urban,137.7 ,110.2, 170.4,N/A , N/A , N/A,19,stable,0.1 ,-2.0, 2.5
"Whitley County, Kentucky(7)",21235,Rural,137.3 ,115.4, 162.5,N/A , N/A , N/A,29,stable,-0.9 ,-2.4, 0.8
"Pendleton County, Kentucky(7)",21191,Urban,137.1 ,104.6, 177.4,N/A , N/A , N/A,13,stable,-1.3 ,-3.6, 1.3
"Clay County, Arkansas(2)",05021,Rural,137.1 ,106.7, 174.5,N/A , N/A , N/A,14,stable,0.8 ,-1.7, 3.4
"Lincoln County, West Virginia(2)",54043,Rural,136.6 ,111.5, 166.6,N/A , N/A , N/A,22,stable,12.5 ,-1.5, 23.3
"Knox County, Kentucky(7)",21121,Rural,136.3 ,113.5, 162.7,N/A , N/A , N/A,26,stable,-1.6 ,-3.4, 0.3
"Trousdale County, Tennessee(2)",47169,Urban,136.2 ,96, 187.7,N/A , N/A , N/A,8,stable,-0.4 ,-3.6, 3.1
"Trimble County, Kentucky(7)",21223,Rural,136.1 ,94.4, 191.5,N/A , N/A , N/A,8,stable,1.7 ,-1.2, 5.5
"Buena Vista City, Virginia(2)",51530,Rural,134 ,87.8, 197.9,N/A , N/A , N/A,5,*,*,*,*
"Livingston County, Kentucky(7)",21139,Urban,133 ,97.1, 180.5,N/A , N/A , N/A,10,stable,-0.6 ,-3.6, 2.6
"Sussex County, Virginia(2)",51183,Urban,132.6 ,96.5, 178.9,N/A , N/A , N/A,10,stable,1.2 ,-2.2, 5.0
"Breathitt County, Kentucky(7)",21025,Rural,132.3 ,99.6, 173.5,N/A , N/A , N/A,12,stable,-0.4 ,-4.5, 4.4
"Barren County, Kentucky(7)",21009,Rural,132 ,112.2, 154.5,N/A , N/A , N/A,34,stable,-0.3 ,-1.2, 0.8
"Clay County, Kentucky(7)",21051,Rural,131.6 ,103.5, 165.6,N/A , N/A , N/A,16,falling,-2.7 ,-6.4, -1.0
"Adair County, Kentucky(7)",21001,Rural,131.1 ,104.3, 163.6,N/A , N/A , N/A,17,stable,0.2 ,-1.8, 2.6
"Bath County, Kentucky(7)",21011,Rural,131.1 ,97.2, 173.8,N/A , N/A , N/A,11,stable,0.6 ,-1.1, 2.8
"Powell County, Kentucky(7)",21197,Rural,130.9 ,92.6, 179.9,N/A , N/A , N/A,10,stable,-1.3 ,-4.5, 2.1
"Mahnomen County, Minnesota(2)",27087,Rural,130.7 ,78.7, 205.4,N/A , N/A , N/A,4,stable,0.2 ,-3.8, 4.4
"Mississippi County, Missouri(2)",29133,Rural,130.5 ,96.7, 173.1,N/A , N/A , N/A,10,stable,0.4 ,-2.7, 3.7
"Pike County, Kentucky(7)",21195,Rural,130.5 ,114.5, 148.4,N/A , N/A , N/A,52,falling,-1.3 ,-2.3, -0.2
"Calhoun County, Mississippi(2)",28013,Rural,130 ,97, 171.5,N/A , N/A , N/A,11,stable,-0.3 ,-3.1, 2.5
"Stark County, Illinois(7)",17175,Urban,128.7 ,83.3, 194,N/A , N/A , N/A,5,*,*,*,*
"Wayne County, Missouri(2)",29223,Rural,127.8 ,97.1, 167.6,N/A , N/A , N/A,12,stable,-1.0 ,-2.7, 0.6
"Butler County, Kentucky(7)",21031,Urban,127.1 ,93.9, 169.3,N/A , N/A , N/A,10,stable,-2.1 ,-5.9, 1.5
"Sharp County, Arkansas(2)",05135,Rural,126.5 ,102.2, 156.3,N/A , N/A , N/A,20,falling,-16.8 ,-25.9, -9.5
"Gallatin County, Kentucky(7)",21077,Urban,125.9 ,83.6, 183.8,N/A , N/A , N/A,7,stable,-1.1 ,-5.2, 3.9
"Pulaski County, Illinois(7)",17153,Rural,125.4 ,80.2, 191,N/A , N/A , N/A,5,stable,0.5 ,-3.8, 5.7
"Grant County, Kentucky(7)",21081,Urban,125.4 ,99, 156.8,N/A , N/A , N/A,18,stable,-0.7 ,-2.7, 1.5
"Carter County, Kentucky(7)",21043,Urban,125.1 ,103, 151.1,N/A , N/A , N/A,24,stable,-1.2 ,-2.7, 0.4
"Randolph County, Arkansas(2)",05121,Rural,125 ,98.3, 157.3,N/A , N/A , N/A,15,stable,0.2 ,-1.7, 2.2
"Tunica County, Mississippi(2)",28143,Urban,124.9 ,82.8, 181.2,N/A , N/A , N/A,6,stable,1.0 ,-2.7, 5.4
"Harlan County, Kentucky(7)",21095,Rural,124.4 ,101.1, 152.1,N/A , N/A , N/A,22,falling,-2.3 ,-4.7, -0.9
"Christian County, Illinois(7)",17021,Rural,124.4 ,104.7, 147.1,N/A , N/A , N/A,29,stable,-1.3 ,-2.8, 0.2
"Perry County, Kentucky(7)",21193,Rural,123.2 ,101.4, 148.7,N/A , N/A , N/A,24,falling,-3.1 ,-4.8, -1.3
"Butler County, Missouri(2)",29023,Rural,123.1 ,104.7, 144,N/A , N/A , N/A,33,stable,-1.5 ,-3.2, 0.1
"Morgan County, Ohio(2)",39115,Rural,123 ,95.7, 157.2,N/A , N/A , N/A,14,stable,9.2 ,-5.0, 39.5
"McLean County, Kentucky(7)",21149,Urban,123 ,88, 169.2,N/A , N/A , N/A,8,stable,-1.0 ,-3.1, 1.2
"Campbell County, Tennessee(2)",47013,Urban,122.8 ,105.3, 142.8,N/A , N/A , N/A,36,stable,-2.0 ,-3.9, 0.0
"Clay County, Alabama(2)",01027,Rural,122.7 ,94.6, 157.8,N/A , N/A , N/A,13,stable,-1.0 ,-3.3, 1.4
"Crenshaw County, Alabama(2)",01041,Rural,122.6 ,90, 163.9,N/A , N/A , N/A,10,stable,2.4 ,-0.7, 6.2
"Montgomery County, Kentucky(7)",21173,Rural,122.5 ,99.4, 149.8,N/A , N/A , N/A,21,stable,-1.0 ,-2.9, 1.1
"North Slope Borough, Alaska(2)",02185,Rural,122.4 ,51.3, 230.8,N/A , N/A , N/A,3,*,*,*,*
"Jasper County, Illinois(7)",17079,Rural,122.1 ,86.3, 169.4,N/A , N/A , N/A,8,stable,21.1 ,-0.1, 53.7
"Lancaster County, Virginia(2)",51103,Rural,122.1 ,87.9, 168,N/A , N/A , N/A,13,stable,2.7 ,0.0, 5.6
"Crockett County, Tennessee(2)",47033,Urban,121.9 ,89.8, 162.4,N/A , N/A , N/A,10,stable,0.1 ,-3.5, 3.9
"Palo Alto County, Iowa(7)",19147,Rural,121.4 ,87.1, 167,N/A , N/A , N/A,9,stable,0.5 ,-1.3, 2.4
"Wilkinson County, Georgia(7)",13319,Rural,121.3 ,84.1, 171.4,N/A , N/A , N/A,7,stable,-2.2 ,-4.6, 0.2
"Clay County, Illinois(7)",17025,Rural,121.1 ,90, 160.2,N/A , N/A , N/A,11,stable,0.4 ,-1.7, 2.7
"Scott County, Arkansas(2)",05127,Rural,121 ,88.2, 163.8,N/A , N/A , N/A,9,stable,0.0 ,-3.6, 3.9
"Baylor County, Texas(7)",48023,Rural,121 ,67.5, 205.9,N/A , N/A , N/A,3,*,*,*,*
"Lawrence County, Kentucky(7)",21127,Urban,120.9 ,92.5, 156.2,N/A , N/A , N/A,13,stable,-1.3 ,-3.0, 0.6
"Garrard County, Kentucky(7)",21079,Rural,120.1 ,91.8, 155,N/A , N/A , N/A,14,stable,-0.4 ,-2.4, 1.9
"Polk County, Texas(7)",48373,Rural,119.7 ,99.8, 142.4,N/A , N/A , N/A,38,stable,-0.6 ,-1.7, 0.4
"Chariton County, Missouri(2)",29041,Rural,119.6 ,80.8, 172.9,N/A , N/A , N/A,7,stable,-0.5 ,-4.9, 3.9
"Greene County, Illinois(7)",17061,Rural,119.3 ,88.8, 158.4,N/A , N/A , N/A,11,stable,-0.6 ,-3.1, 2.0
"Jackson County, Kentucky(7)",21109,Rural,119.1 ,88.5, 158.3,N/A , N/A , N/A,11,stable,-0.2 ,-2.6, 2.4
"Chickasaw County, Mississippi(2)",28017,Rural,119 ,90.5, 154.2,N/A , N/A , N/A,12,stable,-0.7 ,-3.5, 2.1
"Floyd County, Kentucky(7)",21071,Rural,118.6 ,99.5, 140.7,N/A , N/A , N/A,29,falling,-5.3 ,-18.2, -2.0
"Traverse County, Minnesota(2)",27155,Rural,118.5 ,68.7, 199.1,N/A , N/A , N/A,3,*,*,*,*
"Jennings County, Indiana(2)",18079,Rural,118.5 ,96.5, 144.5,N/A , N/A , N/A,21,stable,-0.6 ,-2.7, 1.7
"Hart County, Kentucky(7)",21099,Rural,118.2 ,91.7, 150.7,N/A , N/A , N/A,15,stable,-1.3 ,-3.0, 0.6
"Johnson County, Kentucky(7)",21115,Rural,117.4 ,93.4, 146.4,N/A , N/A , N/A,18,falling,-2.3 ,-4.4, -0.2
"Drew County, Arkansas(2)",05043,Rural,117.4 ,89.4, 151.9,N/A , N/A , N/A,13,stable,-1.7 ,-4.2, 0.8
"Ohio County, Kentucky(7)",21183,Rural,117.2 ,93.8, 145,N/A , N/A , N/A,18,stable,-0.8 ,-2.5, 1.0
"Macon County, Tennessee(2)",47111,Urban,117 ,92.5, 146.1,N/A , N/A , N/A,17,stable,-0.7 ,-2.9, 1.6
"Schley County, Georgia(7)",13249,Rural,116.8 ,67.9, 192.7,N/A , N/A , N/A,3,*,*,*,*
"Lawrence County, Ohio(2)",39087,Urban,116.5 ,101.6, 133.2,N/A , N/A , N/A,46,stable,-1.2 ,-3.1, 0.7
"Shelby County, Missouri(2)",29205,Rural,116.4 ,75.4, 174.9,N/A , N/A , N/A,5,stable,0.8 ,-4.3, 6.4
"Tallahatchie County, Mississippi(2)",28135,Rural,116.2 ,83.4, 158,N/A , N/A , N/A,9,stable,1.8 ,-2.9, 7.2
"St. Francois County, Missouri(2)",29187,Rural,116 ,101.4, 132.2,N/A , N/A , N/A,48,stable,-0.4 ,-1.9, 1.1
"Latimer County, Oklahoma(2)",40077,Rural,115.8 ,84.8, 156.9,N/A , N/A , N/A,9,stable,0.7 ,-2.4, 4.0
"Hickman County, Tennessee(2)",47081,Urban,115.6 ,93.6, 141.8,N/A , N/A , N/A,20,stable,-1.2 ,-3.4, 1.3
"Heard County, Georgia(7)",13149,Urban,115.5 ,83, 157.7,N/A , N/A , N/A,9,stable,-1.4 ,-4.7, 2.5
"Lincoln County, Kentucky(7)",21137,Rural,115.5 ,92.4, 143,N/A , N/A , N/A,18,falling,-2.3 ,-4.0, -0.5
"Mason County, Illinois(7)",17125,Rural,115.3 ,87.1, 151.4,N/A , N/A , N/A,12,stable,-1.5 ,-3.4, 0.4
"St. Clair County, Missouri(2)",29185,Rural,115.2 ,85.3, 155.3,N/A , N/A , N/A,10,stable,0.8 ,-2.8, 14.8
"Pierce County, Georgia(7)",13229,Rural,115 ,89.5, 146.2,N/A , N/A , N/A,15,stable,-1.8 ,-4.3, 1.2
"Meade County, Kentucky(7)",21163,Urban,115 ,92.9, 141.1,N/A , N/A , N/A,21,stable,-1.4 ,-3.1, 0.6
"Mason County, Kentucky(7)",21161,Rural,115 ,86.3, 150.7,N/A , N/A , N/A,12,stable,-0.1 ,-2.4, 2.4
"Pulaski County, Indiana(2)",18131,Rural,114.8 ,86, 151.6,N/A , N/A , N/A,11,stable,1.4 ,-1.5, 4.9
"Lanier County, Georgia(7)",13173,Urban,114.8 ,78.5, 163.2,N/A , N/A , N/A,7,rising,6.1 ,1.0, 22.0
"Stoddard County, Missouri(2)",29207,Rural,114.4 ,94.1, 138.1,N/A , N/A , N/A,23,stable,-1.7 ,-12.5, 0.8
"Elbert County, Georgia(7)",13105,Rural,114.3 ,89.3, 144.9,N/A , N/A , N/A,16,stable,-0.3 ,-1.9, 1.6
"Vinton County, Ohio(2)",39163,Rural,114.3 ,85.2, 151.6,N/A , N/A , N/A,11,stable,-2.0 ,-4.8, 0.7
"Decatur County, Tennessee(2)",47039,Rural,114 ,84.9, 152,N/A , N/A , N/A,11,stable,-0.2 ,-3.1, 2.9
"Edwards County, Illinois(7)",17047,Rural,113.8 ,72, 173.8,N/A , N/A , N/A,5,stable,-2.3 ,-5.5, 0.7
"Clark County, Arkansas(2)",05019,Rural,113.7 ,88, 144.9,N/A , N/A , N/A,14,stable,-14.7 ,-27.0, 0.9
"Taylor County, Florida(2)",12123,Rural,113.6 ,91.2, 140.4,N/A , N/A , N/A,19,stable,-1.2 ,-2.8, 0.5
"Knott County, Kentucky(7)",21119,Rural,113.5 ,85.1, 149.8,N/A , N/A , N/A,12,falling,-4.1 ,-12.2, -0.4
"Wolfe County, Kentucky(7)",21237,Rural,113.5 ,73.8, 170.2,N/A , N/A , N/A,6,falling,-4.6 ,-7.7, -1.7
