County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,N/A,116.4 ,116.2, 116.6,N/A , N/A , N/A,240633,rising,1.9 ,0.8, 3.4
"Union County, Florida(2)",12125,Rural,350.6 ,303.8, 403.1,N/A , N/A , N/A,44,rising,2.8 ,0.5, 5.7
"Wheatland County, Montana(2)",30107,Rural,284.9 ,176.5, 446,N/A , N/A , N/A,5,falling,-20.6 ,-38.2, -2.8
"Liberty County, Montana(2)",30051,Rural,272.8 ,165.5, 435.3,N/A , N/A , N/A,4,*,*,*,*
"Holmes County, Mississippi(2)",28051,Urban,222 ,180.2, 270.8,N/A , N/A , N/A,21,stable,8.7 ,-0.3, 30.2
"Ida County, Iowa(7)",19093,Rural,220.7 ,166, 289.9,N/A , N/A , N/A,12,stable,0.8 ,-0.9, 2.7
"West Feliciana Parish, Louisiana(7)",22125,Urban,218.6 ,182.3, 261.3,N/A , N/A , N/A,28,stable,1.3 ,-1.5, 5.2
"Antelope County, Nebraska(2)",31003,Rural,214.4 ,157.2, 288.2,N/A , N/A , N/A,11,stable,1.3 ,-3.2, 6.1
"Jefferson County, Mississippi(2)",28063,Rural,210.9 ,153.8, 283.7,N/A , N/A , N/A,10,stable,0.5 ,-3.2, 4.6
"Dewey County, South Dakota(2)",46041,Rural,204.3 ,125.7, 313.7,N/A , N/A , N/A,5,stable,1.4 ,-4.3, 7.8
"Twiggs County, Georgia(7)",13289,Urban,198.4 ,150.2, 260,N/A , N/A , N/A,13,stable,1.1 ,-1.3, 3.9
"Macon County, Alabama(2)",01087,Urban,197.5 ,161.9, 239.4,N/A , N/A , N/A,24,stable,0.8 ,-2.0, 3.7
