Age_Adjusted_Incd_Rate,Unemployment_rate_,Percent of adults completing some college or associate degree,Percent of adults who are high school graduates (or equivalent),Percent of adults who are not high school graduates,Percent of adults with a bachelor's degree or higher
1215.0,3.75,26.1,38.9,27.5,7.5
683.8,6.94,23.1,36.5,30.0,10.4
677.0,2.19,26.7,39.7,11.4,22.2
649.8,9.0,33.1,32.2,22.6,12.2
621.8,6.24,19.5,40.6,30.4,9.5
621.8,8.85,19.5,25.0,44.9,10.6
618.8,6.04,15.8,20.6,53.9,9.7
615.5,9.8,12.3,30.8,46.4,10.6
608.7,6.11,28.6,34.1,25.0,12.4
606.5,7.48,12.5,36.4,44.0,7.1
606.0,4.779999999999999,31.9,39.6,17.8,10.7
605.2,6.5200000000000005,20.7,28.6,39.6,11.1
604.7,3.01,26.5,34.1,26.3,13.1
603.7,9.12,25.4,34.7,33.0,6.9
601.3,10.37,40.6,23.1,11.2,25.0
598.4,6.55,25.1,40.8,25.7,8.4
598.0,7.32,15.4,40.8,35.4,8.4
596.5,7.62,17.2,38.9,34.3,9.6
595.2,3.88,34.1,27.8,17.6,20.5
594.3,8.290000000000001,13.1,36.5,43.9,6.5
592.8,7.23,18.0,36.7,36.7,8.5
590.7,4.5600000000000005,20.4,29.3,32.9,17.3
589.8,3.5799999999999996,34.2,37.7,14.4,13.8
588.0,7.32,12.8,32.6,45.9,8.8
588.0,7.43,21.7,29.9,38.7,9.7
587.5,2.28,29.0,39.5,13.8,17.8
587.0,6.92,28.0,38.3,24.1,9.7
586.1,5.21,25.1,48.1,13.7,13.0
585.8,3.95,20.5,37.9,29.0,12.6
585.6,4.84,17.4,42.8,31.9,7.9
585.5,6.459999999999999,21.2,33.1,37.9,7.8
583.5,2.92,29.0,38.9,17.3,14.8
583.1,4.5200000000000005,23.2,45.6,19.8,11.3
582.9,7.0200000000000005,20.7,49.0,20.6,9.7
582.4,7.31,14.6,42.2,37.3,5.9
581.9,4.63,28.8,40.4,14.1,16.6
581.9,6.709999999999999,20.5,35.3,33.4,10.8
581.5,6.4799999999999995,19.5,34.8,36.9,8.8
581.1,8.22,19.1,39.0,30.5,11.5
580.3,3.2700000000000005,27.9,38.7,17.1,16.3
580.2,6.5200000000000005,21.9,43.5,24.4,10.3
580.0,4.96,21.4,33.1,29.8,15.6
579.8,6.18,18.0,31.1,39.9,10.9
579.7,6.37,22.2,40.9,29.3,7.6
579.7,8.25,32.0,31.7,29.3,7.1
579.6,4.75,29.5,38.3,11.7,20.5
578.7,6.87,16.5,31.5,38.7,13.4
578.7,6.99,12.5,37.0,42.3,8.3
577.3,5.76,24.9,43.8,21.1,10.1
575.6,9.54,32.4,26.6,26.3,14.7
574.0,8.72,11.9,44.5,36.3,7.3
573.2,9.62,12.5,29.0,50.6,8.0
573.1,3.91,34.8,35.0,16.3,13.9
572.7,7.32,14.3,37.3,41.5,6.9
572.7,6.12,18.8,44.2,27.6,9.4
572.6,8.82,18.2,37.3,35.6,8.9
571.2,6.859999999999999,16.2,39.5,38.0,6.3
568.5,6.35,17.3,35.2,38.6,8.9
568.1,5.3,30.8,29.9,12.5,26.8
567.8,3.31,30.7,36.0,20.5,12.7
567.2,5.7700000000000005,23.1,47.5,19.3,10.1
566.8,8.76,18.0,37.1,37.2,7.7
566.8,7.05,20.5,39.2,27.8,12.4
566.6,6.0200000000000005,19.9,29.0,39.9,11.2
566.3,6.090000000000001,18.4,44.1,26.3,11.2
565.8,3.21,30.4,39.3,16.8,13.5
565.3,5.87,19.8,36.1,32.0,12.2
564.9,7.38,26.6,42.1,20.1,11.2
564.8,4.32,24.7,30.8,31.0,13.5
564.6,8.43,14.5,34.5,41.0,10.1
564.5,6.51,25.2,39.8,28.6,6.4
564.4,7.93,13.5,28.0,50.8,7.7
563.9,5.55,25.9,43.8,20.4,9.9
563.9,3.45,24.2,41.9,17.7,16.2
563.7,7.590000000000001,24.3,34.8,25.2,15.7
563.1,5.07,23.3,35.2,25.3,16.2
562.9,4.92,25.3,32.7,29.9,12.1
562.5,5.5,22.8,37.1,20.1,19.9
562.2,5.92,24.7,32.6,30.5,12.2
560.2,3.75,42.5,38.6,6.6,12.3
560.1,5.89,23.9,31.9,32.8,11.4
558.8,7.68,21.7,41.2,26.4,10.6
558.6,6.92,17.8,39.3,29.5,13.4
558.5,6.1899999999999995,22.0,27.9,25.6,24.5
558.3,5.65,25.0,44.3,21.1,9.6
558.2,6.859999999999999,28.2,38.0,16.8,16.9
558.1,8.51,18.5,33.0,41.8,6.6
557.8,8.3,17.7,50.0,20.2,12.1
557.6,9.05,18.0,36.0,35.0,11.1
557.3,5.05,32.0,34.9,20.0,13.1
557.0,4.62,18.1,42.1,17.7,22.1
556.6,6.14,26.4,43.0,15.5,15.0
556.3,7.87,13.9,40.4,39.3,6.4
556.1,5.7299999999999995,28.1,41.2,18.6,12.2
555.7,6.14,26.8,43.6,19.0,10.5
555.5,8.03,21.5,34.3,26.9,17.3
554.9,5.37,30.3,37.9,19.1,12.6
554.2,3.5799999999999996,30.4,38.8,19.4,11.4
554.2,6.43,21.8,39.0,31.4,7.8
554.2,9.02,24.5,21.5,37.8,16.2
554.1,4.55,24.5,34.0,31.0,10.5
553.7,7.52,20.4,39.8,27.6,12.2
553.3,7.81,31.1,35.9,20.9,12.1
552.9,4.88,28.5,31.0,11.9,28.6
552.9,6.470000000000001,22.5,43.1,21.0,13.4
552.8,3.86,29.6,42.7,12.5,15.2
552.0,5.85,28.0,37.7,21.5,12.7
551.2,6.279999999999999,23.8,39.7,23.6,13.0
551.0,9.17,23.4,35.7,30.8,10.1
550.9,4.81,21.3,34.8,26.5,17.4
550.9,6.18,28.9,36.9,16.7,17.4
550.8,6.51,16.1,36.2,38.6,9.1
550.8,8.05,23.4,41.9,20.1,14.7
550.6,9.08,22.6,38.4,29.8,9.2
549.9,3.6,33.8,28.2,13.3,24.7
549.1,6.07,20.7,41.6,24.2,13.5
549.1,5.58,23.0,40.8,20.6,15.6
549.1,6.540000000000001,15.6,39.0,39.8,5.6
548.9,4.87,26.8,30.4,25.2,17.5
548.2,10.79,24.9,33.6,36.1,5.4
548.1,6.82,21.7,35.1,34.8,8.4
547.9,5.790000000000001,26.0,45.3,16.6,12.2
547.3,4.779999999999999,29.7,41.5,14.4,14.4
547.3,6.040000000000001,20.9,42.6,25.8,10.6
547.1,6.26,30.0,38.9,18.1,13.1
547.1,5.54,23.2,38.7,24.6,13.5
546.9,4.4799999999999995,23.7,43.0,20.7,12.6
546.9,2.97,31.7,30.8,11.5,26.0
546.9,8.24,26.5,30.2,29.5,13.9
546.7,5.37,16.9,38.0,34.4,10.7
546.6,6.709999999999999,18.7,24.0,46.7,10.6
546.5,7.27,27.9,38.4,21.3,12.5
546.4,5.95,27.6,43.9,17.1,11.5
545.9,5.13,25.4,42.9,18.3,13.4
545.6,5.35,24.7,44.7,18.5,12.1
545.6,5.970000000000001,32.6,34.3,17.7,15.4
545.6,7.9,25.2,36.0,29.8,9.0
545.4,6.16,16.7,44.4,32.0,6.9
545.3,4.96,24.0,34.2,33.0,8.8
545.2,6.4,16.9,43.0,26.5,13.6
545.0,7.029999999999999,29.2,36.9,20.5,13.4
544.9,6.05,19.7,43.4,26.9,10.0
544.9,5.34,19.0,40.6,32.0,8.4
544.6,6.65,17.0,40.7,36.8,5.4
544.4,5.220000000000001,30.5,40.8,15.8,12.9
544.4,6.529999999999999,24.8,41.2,19.6,14.4
543.5,10.02,18.9,41.5,29.9,9.7
543.5,4.88,25.4,35.1,24.0,15.4
543.4,5.9,27.0,39.9,17.6,15.5
543.3,5.71,25.8,40.4,19.6,14.2
543.2,7.07,14.8,46.2,27.3,11.8
543.0,5.73,30.9,36.0,15.6,17.6
542.5,4.88,31.6,27.9,24.5,15.9
542.4,3.96,27.6,36.0,22.4,13.9
542.3,3.62,25.2,28.8,36.7,9.2
542.2,7.540000000000001,23.3,43.7,19.7,13.3
542.2,6.04,30.7,40.6,17.4,11.2
542.1,5.55,18.5,44.3,28.0,9.1
542.0,7.26,19.1,41.3,28.1,11.5
541.6,11.32,22.6,29.3,31.5,16.6
541.5,2.8,26.7,40.6,20.4,12.3
